id,crossing_id,crossing_label,month,vehicle_type,direction,registration,count,joint_reported_with,source_resource_id,source_dataset,fetched_at
107,zosin,Zosin – Ustiług,2026-03,truck,z_RP,all,4582,,1908844,2708,2026-06-28T10:11:01Z
110,budomierz,Budomierz – Hruszew,2026-04,total,do_RP,all,10499,,1908844,2708,2026-06-28T10:11:01Z
109,budomierz,Budomierz – Hruszew,2026-04,total,z_RP,all,9963,,1908844,2708,2026-06-28T10:11:01Z
112,budomierz,Budomierz – Hruszew,2026-04,truck,do_RP,all,997,,1908844,2708,2026-06-28T10:11:01Z
111,budomierz,Budomierz – Hruszew,2026-04,truck,z_RP,all,2262,,1908844,2708,2026-06-28T10:11:01Z
114,dolhobyczow,Dołhobyczów – Uhrynów,2026-04,total,do_RP,all,13971,,1908844,2708,2026-06-28T10:11:01Z
113,dolhobyczow,Dołhobyczów – Uhrynów,2026-04,total,z_RP,all,11072,,1908844,2708,2026-06-28T10:11:01Z
116,dolhobyczow,Dołhobyczów – Uhrynów,2026-04,truck,do_RP,all,4674,,1908844,2708,2026-06-28T10:11:01Z
115,dolhobyczow,Dołhobyczów – Uhrynów,2026-04,truck,z_RP,all,4044,,1908844,2708,2026-06-28T10:11:01Z
118,dorohusk,Dorohusk – Jagodzin,2026-04,total,do_RP,all,18203,,1908844,2708,2026-06-28T10:11:01Z
117,dorohusk,Dorohusk – Jagodzin,2026-04,total,z_RP,all,19303,,1908844,2708,2026-06-28T10:11:01Z
120,dorohusk,Dorohusk – Jagodzin,2026-04,truck,do_RP,all,16607,,1908844,2708,2026-06-28T10:11:01Z
119,dorohusk,Dorohusk – Jagodzin,2026-04,truck,z_RP,all,17683,,1908844,2708,2026-06-28T10:11:01Z
122,hrebenne,Hrebenne – Rawa Ruska,2026-04,total,do_RP,all,20971,,1908844,2708,2026-06-28T10:11:01Z
121,hrebenne,Hrebenne – Rawa Ruska,2026-04,total,z_RP,all,24046,,1908844,2708,2026-06-28T10:11:01Z
124,hrebenne,Hrebenne – Rawa Ruska,2026-04,truck,do_RP,all,6417,,1908844,2708,2026-06-28T10:11:01Z
123,hrebenne,Hrebenne – Rawa Ruska,2026-04,truck,z_RP,all,8706,,1908844,2708,2026-06-28T10:11:01Z
126,korczowa,Korczowa – Krakowiec,2026-04,total,do_RP,all,30987,,1908844,2708,2026-06-28T10:11:01Z
125,korczowa,Korczowa – Krakowiec,2026-04,total,z_RP,all,39075,,1908844,2708,2026-06-28T10:11:01Z
128,korczowa,Korczowa – Krakowiec,2026-04,truck,do_RP,all,8132,,1908844,2708,2026-06-28T10:11:01Z
127,korczowa,Korczowa – Krakowiec,2026-04,truck,z_RP,all,10821,,1908844,2708,2026-06-28T10:11:01Z
130,kroscienko,Krościenko – Smolnica,2026-04,total,do_RP,all,6748,,1908844,2708,2026-06-28T10:11:01Z
129,kroscienko,Krościenko – Smolnica,2026-04,total,z_RP,all,5768,,1908844,2708,2026-06-28T10:11:01Z
132,kroscienko,Krościenko – Smolnica,2026-04,truck,do_RP,all,825,,1908844,2708,2026-06-28T10:11:01Z
131,kroscienko,Krościenko – Smolnica,2026-04,truck,z_RP,all,752,,1908844,2708,2026-06-28T10:11:01Z
134,malhowice,Malhowice – Niżankowice *),2026-04,total,do_RP,all,5957,,1908844,2708,2026-06-28T10:11:01Z
133,malhowice,Malhowice – Niżankowice *),2026-04,total,z_RP,all,4710,,1908844,2708,2026-06-28T10:11:01Z
136,malhowice,Malhowice – Niżankowice *),2026-04,truck,do_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
135,malhowice,Malhowice – Niżankowice *),2026-04,truck,z_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
138,medyka,Medyka – Szeginie,2026-04,total,do_RP,all,25528,,1908844,2708,2026-06-28T10:11:01Z
137,medyka,Medyka – Szeginie,2026-04,total,z_RP,all,30649,,1908844,2708,2026-06-28T10:11:01Z
140,medyka,Medyka – Szeginie,2026-04,truck,do_RP,all,4907,,1908844,2708,2026-06-28T10:11:01Z
139,medyka,Medyka – Szeginie,2026-04,truck,z_RP,all,6120,,1908844,2708,2026-06-28T10:11:01Z
142,zosin,Zosin – Ustiług,2026-04,total,do_RP,all,14416,,1908844,2708,2026-06-28T10:11:01Z
141,zosin,Zosin – Ustiług,2026-04,total,z_RP,all,16456,,1908844,2708,2026-06-28T10:11:01Z
144,zosin,Zosin – Ustiług,2026-04,truck,do_RP,all,4576,,1908844,2708,2026-06-28T10:11:01Z
143,zosin,Zosin – Ustiług,2026-04,truck,z_RP,all,4275,,1908844,2708,2026-06-28T10:11:01Z
